station_code,station_name,lat,lon,source,comment
EW11,Lavender,1.3073717305725638,103.86283780154915,ura,
EW12,Bugis,1.2999975124848677,103.85626865113218,ura,
EW13,City Hall,1.292935458131331,103.85260777099556,ura,
EW14,Raffles Place,1.284067270989306,103.85145931539898,ura,
EW15,Tanjong Pagar,1.2766311508227064,103.84601318730437,ura,
EW16,Outram Park,1.2808389346699285,103.83925001411495,ura,
EW17,Tiong Bahru,1.286219740332733,103.82703434044352,ura,
EW18,Redhill,1.2896302709624783,103.81677319412825,ura,
EW19,Queenstown,1.294611331801812,103.80604523672386,ura,
EW20,Commonwealth,1.3024476459449514,103.79829071929134,ura,
EW21,Buona Vista,1.3068710122280809,103.79028747130236,ura,
EW22,Dover,1.3113946900971238,103.77864915499143,ura,
EW23,Clementi,1.3159314667201611,103.76560394593672,ura,
EW24,Jurong East,1.333050284679782,103.74210748182318,ura,
EW25,Chinese Garden,1.3421449762957498,103.73281439405886,ura,
EW26,Lakeside,1.3442638155664695,103.72096682017924,ura,
EW27,Boon Lay,1.3383562390412558,103.70531990031637,ura,
EW28,Pioneer,1.3375950972528237,103.69741522528173,ura,
EW29,Joo Koon,1.327744942268679,103.67828617916503,ura,
EW30,Gul Circle,1.3197032592130764,103.66073679407967,ura,
EW31,Tuas Crescent,1.3211383595667519,103.64896525737075,ura,
EW32,Tuas West Road,1.3300371270042406,103.63957309721583,ura,
EW33,Tuas Link,1.340270406495732,103.63675132373392,ura,
NE1,HarbourFront,1.265310691626473,103.82150740808491,ura,
NE3,Outram Park,1.2808389346699285,103.83925001411495,ura,
NE4,Chinatown,1.2844979891931358,103.84400359690841,ura,
NE5,Clarke Quay,1.2886057308902332,103.84664481271456,ura,
NE6,Dhoby Ghaut,1.2991489615370466,103.8458117190266,ura,
NE7,Little India,1.3071641923108004,103.84927785171979,ura,
NE8,Farrer Park,1.3124482283293788,103.85427015841306,ura,
NE9,Boon Keng,1.3194470900320243,103.86168108544172,ura,
NE10,Potong Pasir,1.3313873892306496,103.86906995828527,ura,
NE11,Woodleigh,1.3391607697389176,103.87079168986061,ura,
NE12,Serangoon,1.3500741477714449,103.87304885351502,ura,
NE13,Kovan,1.3601798707280965,103.88509111597133,ura,
NE14,Hougang,1.37121513084043,103.8917486395222,ura,
NE15,Buangkok,1.3827715837771788,103.89309246881164,ura,
NE16,Sengkang,1.3915510620007674,103.8954261698915,ura,
NE17,Punggol,1.405165442795008,103.90240395660469,ura,
NE18,Punggol Coast,1.4149388181616607,103.91021424530948,ura,
NS1,Jurong East,1.333050284679782,103.74210748182318,ura,
NS2,Bukit Batok,1.3489967490688684,103.74954069134954,ura,
NS3,Bukit Gombak,1.3586719216098169,103.75191010899835,ura,
NS4,Choa Chu Kang,1.3851254680366532,103.74434408893133,ura,
NS5,Yew Tee,1.3975496334690805,103.74740209303708,ura,
NS7,Kranji,1.4251892314695478,103.76205895494209,ura,
NS8,Marsiling,1.4325784529165027,103.77404281322656,ura,
NS9,Woodlands,1.436448687872568,103.78705527389394,ura,
NS10,Admiralty,1.4405887099902668,103.80097510574198,ura,
NS11,Sembawang,1.4490674618976647,103.82018789692005,ura,
NS12,Canberra,1.4432345901096362,103.82953968335984,ura,
NS13,Yishun,1.4295722438817275,103.83497264860424,ura,
NS14,Khatib,1.4175753810979856,103.83303809149398,ura,
NS15,Yio Chu Kang,1.3817534968318599,103.84480693849162,ura,
NS16,Ang Mo Kio,1.3696725253555933,103.85025142310502,ura,
NS17,Bishan,1.3510484822751936,103.84868243429734,ura,
NS18,Braddell,1.3403574630140758,103.84679533583812,ura,
NS19,Toa Payoh,1.332667992247838,103.8474452071861,ura,
NS20,Novena,1.3204300814932564,103.8438181306018,ura,
NS21,Newton,1.3129117966563681,103.83803477211077,ura,
NS22,Orchard,1.303444646304231,103.83187416773077,ura,
NS23,Somerset,1.3002600545835286,103.83907516220226,ura,
NS24,Dhoby Ghaut,1.2991489615370466,103.8458117190266,ura,
NS25,City Hall,1.292935458131331,103.85260777099556,ura,
NS26,Raffles Place,1.284067270989306,103.85145931539898,ura,
NS27,Marina Bay,1.2758094294533002,103.85498166544687,ura,
NS28,Marina South Pier,1.2713773812015394,103.86291089300765,ura,
PE1,Cove,1.3993617068685738,103.90591744030328,ura,
PE2,Meridian,1.3968523391605283,103.90899093841303,ura,
PE3,Coral Edge,1.3939263504344506,103.91256353486817,ura,
PE4,Riviera,1.3953581720237742,103.91593242521265,ura,
PE5,Kadaloor,1.399638509666885,103.91639497890144,ura,
PE6,Oasis,1.4023508798916595,103.9126318514526,ura,
PE7,Damai,1.4053160221202112,103.90850357756092,ura,
PTC,Punggol,1.405165442795008,103.90240395660469,ura,
PW1,Sam Kee,1.4096126869238204,103.90483155144202,ura,
PW2,Teck Lee,1.4128738705379404,103.90662621184427,ura,
PW3,Punggol Point,1.4169108526509417,103.90653551158488,ura,
PW4,Samudera,1.4158186977409486,103.90208724260933,ura,
PW5,Nibong,1.4117555862084634,103.90029894847919,ura,
PW6,Sumang,1.408353296668723,103.89851028670412,ura,
PW7,Soo Teck,1.4052096476198659,103.89723440885503,ura,
SE1,Compassvale,1.3944787834510037,103.90055527782525,ura,
SE2,Rumbia,1.3915644449909599,103.90589048292587,ura,
SE3,Bakau,1.3881050159515416,103.90552634690918,ura,
SE4,Kangkar,1.3840307673031464,103.90225755089236,ura,
SE5,Ranggung,1.3839214795181578,103.89749260343731,ura,
STC,Sengkang,1.3915510620007674,103.8954261698915,ura,
SW1,Cheng Lim,1.3962489160522749,103.89390790780313,ura,
SW2,Farmway,1.3971619025464026,103.88938286120671,ura,
SW3,Kupang,1.3981975780716305,103.88137428305878,ura,
SW4,Thanggam,1.397436993718034,103.87565537171609,ura,
SW5,Fernvale,1.391944192658048,103.87627965694506,ura,
SW6,Layar,1.3920928721400994,103.88015787551086,ura,
